Time,Model,Class,Confidence,Snapshot
2025-07-10_18-56-14,PPE,No Helmet,0.52,snapshots/PPE_No Helmet_2025-07-10_18-56-14.jpg
2025-07-10_18-56-15,PPE,No IFR,0.55,snapshots/PPE_No IFR_2025-07-10_18-56-15.jpg
2025-07-10_18-56-15,PPE,No IFR,0.57,snapshots/PPE_No IFR_2025-07-10_18-56-15.jpg
2025-07-10_18-56-16,PPE,No Helmet,0.57,snapshots/PPE_No Helmet_2025-07-10_18-56-16.jpg
2025-07-10_18-56-16,PPE,IFR suit,0.61,snapshots/PPE_IFR suit_2025-07-10_18-56-16.jpg
2025-07-10_18-56-16,PPE,No Helmet,0.52,snapshots/PPE_No Helmet_2025-07-10_18-56-16.jpg
2025-07-10_18-56-16,PPE,No IFR,0.52,snapshots/PPE_No IFR_2025-07-10_18-56-16.jpg
2025-07-10_18-56-17,PPE,No Helmet,0.62,snapshots/PPE_No Helmet_2025-07-10_18-56-17.jpg
2025-07-10_18-56-17,PPE,No Helmet,0.53,snapshots/PPE_No Helmet_2025-07-10_18-56-17.jpg
2025-07-10_18-56-17,PPE,IFR suit,0.51,snapshots/PPE_IFR suit_2025-07-10_18-56-17.jpg
2025-07-10_18-56-17,PPE,No Helmet,0.65,snapshots/PPE_No Helmet_2025-07-10_18-56-17.jpg
2025-07-10_18-56-17,PPE,IFR suit,0.63,snapshots/PPE_IFR suit_2025-07-10_18-56-17.jpg
2025-07-10_18-56-17,PPE,No Helmet,0.55,snapshots/PPE_No Helmet_2025-07-10_18-56-17.jpg
2025-07-10_18-56-18,PPE,No Helmet,0.69,snapshots/PPE_No Helmet_2025-07-10_18-56-18.jpg
2025-07-10_18-56-18,PPE,No Helmet,0.62,snapshots/PPE_No Helmet_2025-07-10_18-56-18.jpg
2025-07-10_18-56-18,PPE,No Helmet,0.57,snapshots/PPE_No Helmet_2025-07-10_18-56-18.jpg
2025-07-10_18-56-18,PPE,No Helmet,0.69,snapshots/PPE_No Helmet_2025-07-10_18-56-18.jpg
2025-07-10_18-56-19,PPE,No Helmet,0.74,snapshots/PPE_No Helmet_2025-07-10_18-56-19.jpg
2025-07-10_18-56-19,PPE,No Helmet,0.71,snapshots/PPE_No Helmet_2025-07-10_18-56-19.jpg
2025-07-10_18-56-20,PPE,No Helmet,0.56,snapshots/PPE_No Helmet_2025-07-10_18-56-20.jpg
2025-07-10_18-56-20,PPE,No Helmet,0.53,snapshots/PPE_No Helmet_2025-07-10_18-56-20.jpg
2025-07-10_18-56-21,PPE,No Helmet,0.55,snapshots/PPE_No Helmet_2025-07-10_18-56-21.jpg
2025-07-10_18-56-21,PPE,No Helmet,0.57,snapshots/PPE_No Helmet_2025-07-10_18-56-21.jpg
2025-07-10_18-56-22,PPE,No Helmet,0.61,snapshots/PPE_No Helmet_2025-07-10_18-56-22.jpg
2025-07-10_18-56-22,PPE,No Helmet,0.66,snapshots/PPE_No Helmet_2025-07-10_18-56-22.jpg
2025-07-10_18-56-22,PPE,No Helmet,0.64,snapshots/PPE_No Helmet_2025-07-10_18-56-22.jpg
2025-07-10_18-56-23,PPE,No Helmet,0.6,snapshots/PPE_No Helmet_2025-07-10_18-56-23.jpg
2025-07-10_18-56-23,PPE,No Helmet,0.71,snapshots/PPE_No Helmet_2025-07-10_18-56-23.jpg
2025-07-10_18-56-23,PPE,IFR suit,0.57,snapshots/PPE_IFR suit_2025-07-10_18-56-23.jpg
2025-07-10_18-56-23,PPE,No Helmet,0.63,snapshots/PPE_No Helmet_2025-07-10_18-56-23.jpg
2025-07-10_18-56-23,PPE,No IFR,0.5,snapshots/PPE_No IFR_2025-07-10_18-56-23.jpg
2025-07-10_18-56-23,PPE,No Helmet,0.72,snapshots/PPE_No Helmet_2025-07-10_18-56-23.jpg
2025-07-10_18-56-24,PPE,No Helmet,0.59,snapshots/PPE_No Helmet_2025-07-10_18-56-24.jpg
2025-07-10_18-56-24,PPE,No IFR,0.52,snapshots/PPE_No IFR_2025-07-10_18-56-24.jpg
2025-07-10_18-56-24,PPE,No IFR,0.64,snapshots/PPE_No IFR_2025-07-10_18-56-24.jpg
2025-07-10_18-56-24,PPE,No Helmet,0.59,snapshots/PPE_No Helmet_2025-07-10_18-56-24.jpg
2025-07-10_18-56-24,PPE,No IFR,0.56,snapshots/PPE_No IFR_2025-07-10_18-56-24.jpg
2025-07-10_18-56-27,FireSmoke,fire,0.59,snapshots/FireSmoke_fire_2025-07-10_18-56-27.jpg
2025-07-10_18-56-53,PPE,IFR suit,0.58,snapshots/PPE_IFR suit_2025-07-10_18-56-53.jpg
2025-07-10_18-56-53,PPE,IFR suit,0.63,snapshots/PPE_IFR suit_2025-07-10_18-56-53.jpg
2025-07-10_18-56-53,PPE,IFR suit,0.72,snapshots/PPE_IFR suit_2025-07-10_18-56-53.jpg
2025-07-10_18-56-53,PPE,IFR suit,0.74,snapshots/PPE_IFR suit_2025-07-10_18-56-53.jpg
2025-07-10_18-56-54,PPE,IFR suit,0.58,snapshots/PPE_IFR suit_2025-07-10_18-56-54.jpg
